id,url,title,description,priority,topic,topicid,stemd,topTerms,topStems
http://www.stjohnskwr.catholic.edu.au/,http://www.stjohnskwr.catholic.edu.au/,St John the Baptist,Catholic primary school.,-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Koo_Wee_Rup/Education,top_regional_oceania_australia_victoria_localities_k_koo_wee_rup_education,top region oceania australia victoria local k koo wee rup educationcathol primari school.st john the baptist,,
http://www.sjkorumburra.catholic.edu.au/,http://www.sjkorumburra.catholic.edu.au/,St Joseph's School,"Catholic primary school. Location map, vision statement, overview of programs and message from the principal.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Korumburra/Education,top_regional_oceania_australia_victoria_localities_k_korumburra_education,"top region oceania australia victoria local k korumburra educationcathol primari school. locat map, vision statement, overview of program and messag from the principal.st joseph school",,
http://www.korumburrasc.vic.edu.au/,http://www.korumburrasc.vic.edu.au/,Korumburra Secondary College,"Co-educational state secondary college. School profile, timetables, daily bulletins and newsletters.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Korumburra/Education,top_regional_oceania_australia_victoria_localities_k_korumburra_education,"top region oceania australia victoria local k korumburra educationco-educ state secondari college. school profile, timetables, daili bulletin and newsletters.korumburra secondari colleg",,
http://www.kyabramclub.com.au/,http://www.kyabramclub.com.au/,Kyabram Club,"Social club offering dining, function room, sports bar, and children s playground. Services and newsletter included.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyabram,top_regional_oceania_australia_victoria_localities_k_kyabram,"top region oceania australia victoria local k kyabramsoci club offer dining, function room, sport bar, and children s playground. servic and newslett included.kyabram club",,
http://www.breakfastmilk.com.au/,http://www.breakfastmilk.com.au/,Breakfast Milk,Details of a new brand of fresh milk and cream products produced and processed in the Kyabram district of Victoria.,-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyabram/Business_and_Economy,top_regional_oceania_australia_victoria_localities_k_kyabram_business_and_economy,top region oceania australia victoria local k kyabram busi and economydetail of a new brand of fresh milk and cream product produc and process in the kyabram district of victoria.breakfast milk,,
http://www.kyabramrealestate.com.au/,http://www.kyabramrealestate.com.au/,McConnell Kirwin First National,Real estate agent. Sells all classifications of real estate in the Goulburn Valley region of Victoria.,-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyabram/Business_and_Economy/Real_Estate,top_regional_oceania_australia_victoria_localities_k_kyabram_business_and_economy_real_estate,top region oceania australia victoria local k kyabram busi and economi real estater estat agent. sell all classif of real estat in the goulburn valley region of victoria.mcconnel kirwin first nation,,
http://www.hinchliffe.com.au/,http://www.hinchliffe.com.au/,Hinchliffe and Greed Real Estate,Real estate agency in Northern Victoria. Property listing and contact details.,-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyabram/Business_and_Economy/Real_Estate,top_regional_oceania_australia_victoria_localities_k_kyabram_business_and_economy_real_estate,top region oceania australia victoria local k kyabram busi and economi real estater estat agenc in northern victoria. properti list and contact details.hinchliff and greed real estat,,
http://www.walkerrealestate.com.au/,http://www.walkerrealestate.com.au/,Walker Real Estate,"Local real estate agent. Includes rural, residential and commercial properties and businesses for sale.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyabram/Business_and_Economy/Real_Estate,top_regional_oceania_australia_victoria_localities_k_kyabram_business_and_economy_real_estate,"top region oceania australia victoria local k kyabram busi and economi real estateloc real estat agent. includ rural, residenti and commerci properti and busi for sale.walk real estat",,
http://www3.sakyabram.catholic.edu.au/,http://www3.sakyabram.catholic.edu.au/,St. Augustine's College,"Catholic P-10 school opened in 1904. History, vision statement, curriculum and calendar.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyabram/Education,top_regional_oceania_australia_victoria_localities_k_kyabram_education,"top region oceania australia victoria local k kyabram educationcathol p-10 school open in 1904. history, vision statement, curriculum and calendar.st. augustin colleg",,
http://www.kyabramp-12.vic.edu.au/,http://www.kyabramp-12.vic.edu.au/,Kyabram P-12 College,"State college catering to primary and secondary students. Recent events, newsletter and virtual tour.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyabram/Education,top_regional_oceania_australia_victoria_localities_k_kyabram_education,"top region oceania australia victoria local k kyabram educationst colleg cater to primari and secondari students. recent events, newslett and virtual tour.kyabram p-12 colleg",,
http://www.kyabrammotorinn.com.au/,http://www.kyabrammotorinn.com.au/,Kyabram Motor Inn,4 star motel style accommodation. Tariffs and overview of facilities.,-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyabram/Travel_and_Tourism/Accommodation,top_regional_oceania_australia_victoria_localities_k_kyabram_travel_and_tourism_accommodation,top region oceania australia victoria local k kyabram travel and tourism accommodation4 star motel style accommodation. tariff and overview of facilities.kyabram motor inn,,
http://www.kycountryroads.com.au/,http://www.kycountryroads.com.au/,Ky Country Roads Motor Inn,"Ground level units. Lists room facilities, and local and regional attractions.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyabram/Travel_and_Tourism/Accommodation,top_regional_oceania_australia_victoria_localities_k_kyabram_travel_and_tourism_accommodation,"top region oceania australia victoria local k kyabram travel and tourism accommodationground level units. list room facilities, and local and region attractions.ki countri road motor inn",,
http://glendanpark.com.au/,http://glendanpark.com.au/,Glendan Park Hereford Stud,"A Hereford cattle stud listing their background, history, sires and dams, and links.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyneton/Business_and_Economy,top_regional_oceania_australia_victoria_localities_k_kyneton_business_and_economy,"top region oceania australia victoria local k kyneton busi and economya hereford cattl stud list their background, history, sire and dams, and links.glendan park hereford stud",,
http://www.wtjones.com.au/,http://www.wtjones.com.au/,William Thomas Jones & Sons,"Traditional stonemasonry yard. Work includes dry stone walls, memorial masonry, architectural features and retaining walls. Contact details provided.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyneton/Business_and_Economy,top_regional_oceania_australia_victoria_localities_k_kyneton_business_and_economy,"top region oceania australia victoria local k kyneton busi and economytradit stonemasonri yard. work includ dri stone walls, memori masonry, architectur featur and retain walls. contact detail provided.william thoma jone & son",,
http://www.kynsec.vic.edu.au/,http://www.kynsec.vic.edu.au/,Kyneton Secondary College,Provides a comprehensive curriculum for its students from Years 7 to 12.,-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyneton/Education,top_regional_oceania_australia_victoria_localities_k_kyneton_education,top region oceania australia victoria local k kyneton educationprovid a comprehens curriculum for it student from year 7 to 12.kyneton secondari colleg,,
http://langleyps.vic.edu.au/,http://langleyps.vic.edu.au/,Langley Primary School,State primary school. Location map and class pictures.,-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyneton/Education,top_regional_oceania_australia_victoria_localities_k_kyneton_education,top region oceania australia victoria local k kyneton educationst primari school. locat map and class pictures.langley primari school,,
http://www.kynetonps.vic.edu.au/,http://www.kynetonps.vic.edu.au/,Kyneton Primary School,Officially opened in 1856.,-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyneton/Education,top_regional_oceania_australia_victoria_localities_k_kyneton_education,top region oceania australia victoria local k kyneton educationoffici open in 1856.kyneton primari school,,
http://www.shckyneton.catholic.edu.au/,http://www.shckyneton.catholic.edu.au/,Sacred Heart College,"Founded by the Sisters of Mercy in 1889. Educating students, adapting to the changing needs of society.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyneton/Education,top_regional_oceania_australia_victoria_localities_k_kyneton_education,"top region oceania australia victoria local k kyneton educationfound by the sister of merci in 1889. educ students, adapt to the chang need of society.sacr heart colleg",,
http://www.olrkyneton.catholic.edu.au/,http://www.olrkyneton.catholic.edu.au/,Our Lady of the Rosary Parish Primary School,Catholic primary school.,-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyneton/Education,top_regional_oceania_australia_victoria_localities_k_kyneton_education,top region oceania australia victoria local k kyneton educationcathol primari school.our ladi of the rosari parish primari school,,
http://www.countryracing.com.au/nmit-kyneton-park-racing-club,http://www.countryracing.com.au/nmit-kyneton-park-racing-club,Kyneton Park,"Horse racing club and track information. Also includes information on entertainment packages, membership, sponsorship and events.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyneton/Recreation_and_Sports,top_regional_oceania_australia_victoria_localities_k_kyneton_recreation_and_sports,"top region oceania australia victoria local k kyneton recreat and sportshors race club and track information. also includ inform on entertain packages, membership, sponsorship and events.kyneton park",,
http://www.zontakyneton.org.au/,http://www.zontakyneton.org.au/,Zonta Club of Kyneton Inc,Meets the fourth Wednesday of every month.,-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyneton/Society_and_Culture,top_regional_oceania_australia_victoria_localities_k_kyneton_society_and_culture,top region oceania australia victoria local k kyneton societi and culturemeet the fourth wednesday of everi month.zonta club of kyneton inc,,
http://www.kynetonbushresort.com.au/,http://www.kynetonbushresort.com.au/,Kyneton Bushland Resort,"Two and three bedroom self contained brick villas set in 123 acres of Australian bush. Facilities, rates, and timeshare information provided.",-1,Top/Regional/Oceania/Australia/Victoria/Localities/K/Kyneton/Travel_and_Tourism/Accommodation,top_regional_oceania_australia_victoria_localities_k_kyneton_travel_and_tourism_accommodation,"top region oceania australia victoria local k kyneton travel and tourism accommodationtwo and three bedroom self contain brick villa set in 123 acr of australian bush. facilities, rates, and timeshar inform provided.kyneton bushland resort",,
